Date,Race,z_score_minutes
2014-08-10,"TRAIL UBAYE SALOMON 2014 - UBAYE TRAIL SALOMON",-0.717633058772585
2019-03-17,"ERGYSPORT TRAIL DU VENTOUX 2019 - 45 KM",-0.7480255949071754
2012-04-28,"HOKA HIGHLAND FLING 2012 - 53 MILE ULTRA RACE",-0.7531956336021334
2010-06-12,"TRAIL FAVERGES ICEBREAKER 2010 - MARATRAIL DE LA SAMBUY",-0.7670209299912943
2016-03-20,"ERGYSPORT TRAIL DU VENTOUX 2016 - 46 KM",-0.7708199970081182
2009-06-13,"TRAIL FAVERGES ICEBREAKER 2009 - MARATRAIL DE LA SAMBUY",-0.7952606614830179
2021-05-22,"CORFU MOUNTAIN TRAIL 2021 - RAIN TRAIL 40 KM",-0.8024788888149832
2017-03-19,"ERGYSPORT TRAIL DU VENTOUX 2017 - 46 KM",-0.8171686146133685
2018-10-21,"FESTIVAL DES TEMPLIERS 2018 - GRAND TRAIL DES TEMPLIERS",-0.8627208493966434
2011-05-22,"LOZÈRE TRAIL 2011 - LOZERE TRAIL",-0.864656952323666
2011-07-31,"XTREME DODO TRAIL 2011",-0.8707641074315527
2020-03-08,"ERGYSPORT TRAIL DU VENTOUX 2020 - 45 KM",-0.8766873312102748
2017-05-13,"TRANSVULCANIA ULTRAMARATHON LA PALMA ISLAND 2017 - ULTRAMARATHON",-0.882144461885201
2019-06-08,"ABUTRES TRAIL WORLD CHAMPIONSHIPS 2019 - TWC 2019",-0.8861849987523343
2020-09-13,"SERRE CHE TRAIL 2020 - GRAND TOUR DES CERCES",-0.898829943978896
2010-03-21,"ERGYSPORT TRAIL DU VENTOUX 2010 - 46 KM",-0.9516555870089309
2016-07-09,"SKYRACE DE MONTGENEVRE 2016 - SKY RACE MAX DE MONTGENEVRE",-0.9587265463665187
2013-06-30,"WEEKEND TRAIL DU TOUR DES GLACIERS DE LA VANOISE 2013 - LE TOUR DES GLACIERS DE LA VANOISE",-0.9666842378265885
2011-10-23,"FESTIVAL DES TEMPLIERS 2011 - GRAND TRAIL DES TEMPLIERS",-0.9897016464584036
2017-07-30,"MONTREUX TRAIL FESTIVAL 2017 - LA LEYSIN 30",-1.0424532887110198
2015-05-10,"TRAIL DU SALEVE 2015",-1.0710729269044257
2009-07-12,"MERRELL SKY RACE 2009 - LE TRAIL DES CERCES",-1.071417725430089
2014-03-09,"TRAIL DES CABORNIS 2014 - 40K",-1.1105832238793933
2022-07-17,"TRAIL LA ROSIERE 2022 - 15 KM",-1.123369699608014
2012-09-23,"TRAIL D'ALBERTVILLE 2012",-1.1235000517365943
2012-09-23,"TRAIL D'ALBERTVILLE 2012",-1.1235000517365943
2019-04-14,"TRAIL DROME 2019 - 42 KM",-1.1342640749509283
2019-07-27,"MONTREUX TRAIL FESTIVAL 2019 - FREDDIE'S NIGHT",-1.1966329408867975
2008-01-01,"FESTIVAL DES TEMPLIERS 2008 - GRAND TRAIL DES TEMPLIERS",-1.202847984383501
2013-09-22,"TRAIL D'ALBERTVILLE 2013",-1.2078393395100826
2008-08-10,"SIERRE-ZINAL 2008",-1.3446057521157393
2007-08-12,"SIERRE-ZINAL 2007",-1.47719319100289
2022-10-20,"LE GRAND RAID DE LA RÉUNION 2022 - LA DIAGONALE DES FOUS",-2.0339606385863482
2018-08-29,"UTMB® 2018 - TDS®",-2.0339606385863482
2017-10-19,"GRAND RAID DE LA RÉUNION 2017 - LA DIAGONALE DES FOUS",-2.0339606385863482
